Ras	Geslacht	Gewicht	Hpscore	PUscore	Verkregen	AndereKatten	 Beweging 	LftEig	LengteEig	GewEig	GeslachtEig	Huishouden	BMI	LftKatDec	BMI25	HPobesitas	PUobesitas
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,3	Ideaal gewicht	5	Anders, namelijk ...	Geen andere katten	Ook buiten de tuin	25	185	75	Man	Meer dan twee personen	21,9	4	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	6,1	Overgewicht/Obesitas	6	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	14	167	51	Vrouw	Meer dan twee personen	18,3	2,3	0	1	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4	Ideaal gewicht	5	Zelf gefokt	1 andere kat	Ook buiten de tuin	20	170	68	Vrouw	Meer dan twee personen	23,5	9	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,2	Ideaal gewicht	5	Anders, namelijk ...	2 of meer andere katten	Ook buiten de tuin	21	175	70	Vrouw	Meer dan twee personen	22,9	1,5	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	7,5	Overgewicht/Obesitas	6	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	20	185	80	Man	Meer dan twee personen	23,4	4,5	0	1	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,2	Ideaal gewicht	6	Gekregen (van bekenden)	1 andere kat	Ook buiten de tuin	20	170	68	Vrouw	Meer dan twee personen	23,5	10,7	0	0	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,8	Ideaal gewicht	6	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	17	180	60	Man	Meer dan twee personen	18,5	7,5	0	0	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,1	Ideaal gewicht	6	Aan komen lopen/gevonden	1 andere kat	Ook buiten de tuin	14	172	58	Man	Meer dan twee personen	19,6	3,3	0	0	1
Kruising/ander ras/onbekend	Kater	6,9	Ideaal gewicht	5	Fokker van raskatten	2 of meer andere katten	Eigen tuin of binnenplaats	46	170	66	Vrouw	Meer dan twee personen	22,8	4,1	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	5,7	Overgewicht/Obesitas	7	Anders, namelijk ...	2 of meer andere katten	Eigen tuin of binnenplaats	60	170	65	Vrouw	Meer dan twee personen	22,5	7,5	0	1	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	2,2	Weet niet/niet te bepalen	4	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	24	183	78	Vrouw	Meer dan twee personen	23,3	13,2	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,3	Ideaal gewicht	6	Gekregen (van bekenden)	1 andere kat	Nee, alleen binnenshuis	26	164	53	Vrouw	Twee personen	19,7	2,4	0	0	1
Gewone huiskat/Europese korthaar	Gecastreerde kater	5,5	Overgewicht/Obesitas	6	Aan komen lopen/gevonden	Geen andere katten	Ook buiten de tuin	72	172	69	Man	Twee personen	23,3	4,2	0	1	1
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,8	Ideaal gewicht	6	Asiel	Geen andere katten	Ook buiten de tuin	19	160	52	Vrouw	Twee personen	20,3	8,1	0	0	1
Gewone huiskat/Europese korthaar	Poes	3	Ondergewicht	3	Aan komen lopen/gevonden	2 of meer andere katten	Kat komt nooit binnenshuis	55	164	72	Man	Meer dan twee personen	26,8	3	1	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,5	Ideaal gewicht	5	Anders, namelijk ...	1 andere kat	Ook buiten de tuin	22	173	73	Man	Meer dan twee personen	24,4	15,7	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	5,5	Overgewicht/Obesitas	7	Gekregen (van bekenden)	2 of meer andere katten	Ook buiten de tuin	48	170	65	Vrouw	Meer dan twee personen	22,5	9	0	1	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	3,1	Ondergewicht	2	Anders, namelijk ...	Geen andere katten	Ook buiten de tuin	18	178	68	Vrouw	Meer dan twee personen	21,5	11	0	0	0
Gewone huiskat/Europese korthaar	Kater	1,9	Ondergewicht	2	Gekregen (van bekenden)	1 andere kat	Ook buiten de tuin	21	175	76	Vrouw	Meer dan twee personen	24,8	0,3	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	3,9	Ideaal gewicht	5	Gekregen (van bekenden)	1 andere kat	Ook buiten de tuin	19	174	70	Vrouw	Meer dan twee personen	23,1	9,5	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	3,5	Weet niet/niet te bepalen	6	Gekregen (van bekenden)	2 of meer andere katten	Ook buiten de tuin	49	187	105	Man	Meer dan twee personen	30	2,5	1	0	1
Gewone huiskat/Europese korthaar	Gecastreerde kater	5,3	Overgewicht/Obesitas	6	Gekregen (van bekenden)	1 andere kat	Ook buiten de tuin	50	181	69	Man	Meer dan twee personen	21,1	6	0	1	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	3,5	Ideaal gewicht	5	Asiel	2 of meer andere katten	Nee, alleen binnenshuis	20	181	60	Vrouw	Twee personen	18,3	13,3	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	3,7	Ideaal gewicht	5	Asiel	1 andere kat	Ook buiten de tuin	18	170	77	Vrouw	Meer dan twee personen	26,6	7,2	1	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	5	Overgewicht/Obesitas	7	Asiel	1 andere kat	Balkon	22	164	63	Vrouw	Twee personen	23,4	1,3	0	1	1
Kruising/ander ras/onbekend	Poes	3,1	Ideaal gewicht	6	Aan komen lopen/gevonden	2 of meer andere katten	Kat komt nooit binnenshuis	57	180	85	Man	Meer dan twee personen	26,2	0,6	1	0	1
Kruising/ander ras/onbekend	Poes	1,5	Ondergewicht	4	Zelf gefokt	1 andere kat	Kat komt nooit binnenshuis	53	176	93	Vrouw	Twee personen	30	2,3	1	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,3	Weet niet/niet te bepalen	4	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	18	175	62	Vrouw	Meer dan twee personen	20,2	7	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,8	Ideaal gewicht	6	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	40	187	84	Man	Meer dan twee personen	24	9,1	0	0	1
Kruising/ander ras/onbekend	Gesteriliseerde poes	2,6	Ideaal gewicht	4	Fokker van raskatten	1 andere kat	Nee, alleen binnenshuis	41	174	75	Vrouw	Twee personen	24,8	8,6	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	5	Overgewicht/Obesitas	6	Asiel	1 andere kat	Balkon	22	164	63	Vrouw	Twee personen	23,4	1,3	0	1	1
Kruising/ander ras/onbekend	Gesteriliseerde poes	3,8	Ideaal gewicht	4	Gekregen (van bekenden)	2 of meer andere katten	Ook buiten de tuin	21	175	75	Vrouw	Meer dan twee personen	24,5	10,5	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,6	Ideaal gewicht	5	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	50	173	64	Vrouw	Meer dan twee personen	21,4	3,1	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,5	Ideaal gewicht	7	Asiel	Geen andere katten	Ook buiten de tuin	18	179	64	Vrouw	Meer dan twee personen	20	10,5	0	0	1
Pers	Gecastreerde kater	4,3	Ideaal gewicht	5	Asiel	Geen andere katten	Ook buiten de tuin	18	162	70	Vrouw	Meer dan twee personen	26,7	3,3	1	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	3,1	Ondergewicht	3	Zelf gefokt	Geen andere katten	Ook buiten de tuin	57	165	78	Vrouw	E‚n persoon	28,7	8,2	1	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	6,1	Overgewicht/Obesitas	6	Zelf gefokt	1 andere kat	Ook buiten de tuin	54	192	88	Man	Meer dan twee personen	23,9	13,3	0	1	1
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,5	Ideaal gewicht	5	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	48	169	73	Vrouw	Meer dan twee personen	25,6	12,1	1	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	5,5	Overgewicht/Obesitas	5	Aan komen lopen/gevonden	1 andere kat	Ook buiten de tuin	28	167	55	Vrouw	Twee personen	19,7	5,4	0	1	0
Kruising/ander ras/onbekend	Gesteriliseerde poes	3	Ondergewicht	5	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	47	172	73	Vrouw	Meer dan twee personen	24,7	10	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	4,3	Ideaal gewicht	6	Asiel	1 andere kat	Balkon	36	163	55	Vrouw	Twee personen	20,7	10	0	0	1
Kruising/ander ras/onbekend	Gesteriliseerde poes	1,5	Ondergewicht	3	Aan komen lopen/gevonden	1 andere kat	Kat komt nooit binnenshuis	20	170	65	Vrouw	Meer dan twee personen	22,5	18,6	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,6	Ideaal gewicht	5	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	20	178	90	Vrouw	Meer dan twee personen	28,4	2,8	1	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	6,4	Overgewicht/Obesitas	7	Asiel	1 andere kat	Nee, alleen binnenshuis	24	175	93	Vrouw	Twee personen	30,4	2,5	1	1	1
Gewone huiskat/Europese korthaar	Poes	4,8	Ideaal gewicht	5	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	50	190	86	Man	Meer dan twee personen	23,8	11,6	0	0	0
Kruising/ander ras/onbekend	Gesteriliseerde poes	4,4	Ideaal gewicht	5	Zelf gefokt	1 andere kat	Kat komt nooit binnenshuis	23	187	67	Vrouw	Meer dan twee personen	19,2	9,7	0	0	0
Gewone huiskat/Europese korthaar	Kater	5,5	Overgewicht/Obesitas	6	Gekregen (van bekenden)	1 andere kat	Kat komt nooit binnenshuis	53	170	60	Vrouw	Meer dan twee personen	20,8	10	0	1	1
Gewone huiskat/Europese korthaar	Gecastreerde kater	4,6	Ideaal gewicht	5	Zelf gefokt	2 of meer andere katten	Ook buiten de tuin	19	163	60	Vrouw	Meer dan twee personen	22,6	9,5	0	0	0
Kruising/ander ras/onbekend	Gesteriliseerde poes	4,1	Ideaal gewicht	4	Fokker van raskatten	Geen andere katten	Nee, alleen binnenshuis	18	173	56	Vrouw	Meer dan twee personen	18,7	7,4	0	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	7,9	Overgewicht/Obesitas	5	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	46	186	115	0	Twee personen	33,2	14,7	1	1	0
